               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  79,            0.018556,           0.0073235,           0.0030638,             0.90031,             0.93676,             0.92472,             0.80148,             0.01536,           0.0094509,           0.0034769,            0.007426,            0.007426,            0.007426
                  80,            0.017972,            0.007197,            0.003019,             0.89311,             0.95317,             0.92469,             0.80573,            0.015072,           0.0096416,           0.0033298,            0.007393,            0.007393,            0.007393
                  81,            0.018578,            0.007121,           0.0030375,             0.90708,             0.96057,             0.93378,             0.80233,            0.015011,           0.0092201,           0.0031443,             0.00736,             0.00736,             0.00736
                  82,             0.01891,           0.0074967,           0.0030773,             0.90911,             0.93671,             0.91634,             0.77912,            0.015667,           0.0098648,           0.0041594,            0.007327,            0.007327,            0.007327
                  83,            0.018401,           0.0074375,           0.0029329,             0.86029,             0.96057,              0.9222,             0.79885,            0.015231,           0.0098953,           0.0046116,            0.007294,            0.007294,            0.007294
                  84,            0.018264,           0.0072042,           0.0029799,             0.85855,             0.96057,             0.91899,              0.7895,            0.015271,           0.0096169,           0.0031811,            0.007261,            0.007261,            0.007261
                  85,            0.018495,           0.0074148,           0.0030768,             0.87306,             0.96057,             0.91638,             0.79247,             0.01538,           0.0092926,           0.0040075,            0.007228,            0.007228,            0.007228
                  86,            0.018568,           0.0069948,           0.0030626,              0.9112,             0.96057,             0.92778,              0.7871,            0.015004,           0.0098839,           0.0030855,            0.007195,            0.007195,            0.007195
                  87,             0.01819,           0.0072347,           0.0028758,             0.88758,             0.96057,             0.92148,             0.80038,            0.014839,            0.010199,           0.0025187,            0.007162,            0.007162,            0.007162
                  88,            0.018072,           0.0073244,             0.00304,             0.87594,             0.93676,             0.91182,             0.78071,            0.015064,            0.009819,           0.0026569,            0.007129,            0.007129,            0.007129
                  89,            0.018141,           0.0069952,            0.002979,               0.876,             0.96057,             0.92478,             0.80222,            0.014724,                0.01,            0.002713,            0.007096,            0.007096,            0.007096
                  90,             0.01805,           0.0071414,           0.0030088,             0.89662,             0.91295,             0.92563,             0.81084,            0.015169,            0.010117,           0.0032476,            0.007063,            0.007063,            0.007063
                  91,             0.01823,           0.0071805,           0.0030356,             0.87623,             0.93957,             0.92547,             0.79548,            0.015662,           0.0097408,           0.0031101,             0.00703,             0.00703,             0.00703
                  92,            0.017948,           0.0070555,           0.0029489,             0.87579,             0.93676,             0.92283,             0.79441,            0.015427,           0.0096684,           0.0029537,            0.006997,            0.006997,            0.006997
                  93,            0.017942,            0.007092,           0.0028955,             0.89684,             0.96008,             0.91986,             0.79024,            0.015029,           0.0094566,            0.003068,            0.006964,            0.006964,            0.006964
                  94,            0.018162,           0.0071407,            0.002951,             0.90472,             0.93676,             0.92571,             0.80169,            0.015334,           0.0095272,           0.0037975,            0.006931,            0.006931,            0.006931
                  95,            0.017883,           0.0070841,           0.0030552,             0.89071,             0.93676,             0.92458,              0.7976,            0.015429,            0.009449,           0.0031219,            0.006898,            0.006898,            0.006898
                  96,            0.017799,           0.0069269,           0.0029396,             0.90759,             0.90635,             0.91873,             0.79324,            0.015389,           0.0097694,           0.0036318,            0.006865,            0.006865,            0.006865
